"ALERT_ID","ALERT_TYPE","SEVERITY","DESCRIPTION","DOCUMENT_IDS","STATUS","ASSIGNED_TO","CREATED_AT","RESOLVED_AT","RESOLUTION_NOTES","BL_ID","DETECTED_AT","AI_RISK_ASSESSMENT","AI_RECOMMENDED_ACTION","AI_DECISION_REASON","AI_ANALYZED_AT"
940,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3026 vs peer median $0.2558 (9x) on APZU04704","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3026, 9x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",4698,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.3026, 9x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognisable real businesses and there are no sanctions matches.","ESCALATE","Cost per kg is $2.3026, 9x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:22.520"
941,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3 vs peer median $0.2558 (9x) on APZU00644","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3 (8.99x the peer median of $0.2558), placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",634,"2026-08-01 23:55:41.671","The key indicators are the cost per kg of $2.3, which is 8.99x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band, and the sanctions/export-restriction list matches for the counterparties is 0. The elevated cost per kg band mandates escalation for human judgment.","ESCALATE","Cost per kg is $2.3 (8.99x the peer median of $0.2558), placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:30.610"
942,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.2982 vs peer median $0.2558 (9x) on OOLU00910","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.2982, 8.98x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",900,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.2982, 8.98x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognisable real businesses and there are no sanctions matches.","ESCALATE","Cost per kg is $2.2982, 8.98x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:49.378"
943,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.2732 vs peer median $0.2558 (8.9x) on HLCU07260","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.2732, 8.89x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",7254,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.2732, 8.89 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.2732, 8.89x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:58.381"
944,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.2668 vs peer median $0.2558 (8.9x) on APZU08106","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.2668, 8.86x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",8100,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.2668, 8.86 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches.","ESCALATE","Cost per kg is $2.2668, 8.86x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:07.655"
945,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.261 vs peer median $0.2558 (8.8x) on MAEU03498","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.261, 8.84x the peer median of $0.2558, falling within the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",3488,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.261, 8.84x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches.","ESCALATE","Cost per kg is $2.261, 8.84x the peer median of $0.2558, falling within the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:16.059"
946,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.2609 vs peer median $0.2558 (8.8x) on EGLV00925","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.2609, 8.84x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",915,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.2609, 8.84 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.2609, 8.84x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:26.621"
947,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.2519 vs peer median $0.2558 (8.8x) on MSKU07149","","ESCALATED","","2026-08-01 23:55:41.671","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.2519, 8.8x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",7143,"2026-08-01 23:55:41.671","The key indicator is the cost per kg, which is $2.2519, 8.8 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.2519, 8.8x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:35.549"
924,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8601 exceed the 99th percentile $8409 on APZU00984","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:01.414","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.",974,"2026-08-01 23:51:30.633","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0). Both counterparties are recognisable real businesses, and the cost per kg is within the normal range.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.","2026-08-02 00:25:59.561"
925,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8598 exceed the 99th percentile $8409 on APZU01822","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:12.437","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within normal range ($0.3144, 1.23x median), no sanctions matches (0), and both counterparties are recognizable real businesses.",1812,"2026-08-01 23:51:30.633","The alert indicates a high-value anomaly, but the cost per kg is within the normal range (1.23x the peer median of $0.2558), and there are no sanctions matches. Both counterparties are recognizable real businesses. The key indicators are cost per kg ($0.3144), sanctions matches (0), and recognizable counterparties (Panasonic Vietnam, Seven Eleven Japan).","CLEAR","Cost per kg is within normal range ($0.3144, 1.23x median), no sanctions matches (0), and both counterparties are recognizable real businesses.","2026-08-02 00:26:11.012"
