"HS_CODE","DESCRIPTION","CATEGORY","IS_DANGEROUS_GOODS","IS_RESTRICTED","REQUIRES_PERMIT","UNIT_OF_MEASURE","DUTY_RATE_PCT","DG_CLASS"
"8471","Automatic data processing machines","Electronics",false,false,false,"EA",0,""
"8517","Telephone sets, mobile phones","Electronics",false,false,false,"EA",0,""
"8528","Monitors and projectors","Electronics",false,false,false,"EA",5,""
"6204","Women's suits, jackets, dresses","Textiles",false,false,false,"EA",16,""
"6109","T-shirts, singlets, knitted","Textiles",false,false,false,"EA",16.5,""
"3004","Medicaments (pharmaceutical products)","Pharmaceuticals",false,true,true,"KG",0,""
"0901","Coffee, roasted or not","Food Products",false,false,false,"KG",0,""
"0902","Tea, whether or not flavoured","Food Products",false,false,false,"KG",0,""
"1701","Cane or beet sugar","Food Products",false,false,false,"KG",0,""
"7208","Flat-rolled steel products","Industrial Materials",false,false,false,"KG",0,""
"7326","Articles of iron or steel","Industrial Materials",false,false,false,"KG",2.9,""
"3920","Plates, sheets, film, plastic","Plastics",false,false,false,"KG",5.3,""
"9401","Seats (furniture)","Furniture",false,false,false,"EA",0,""
"9403","Other furniture and parts","Furniture",false,false,false,"EA",0,""
"6401","Waterproof footwear","Footwear",false,false,false,"PR",37.5,""
"6403","Footwear with leather uppers","Footwear",false,false,false,"PR",8.5,""
"8703","Motor cars and vehicles","Vehicles",false,false,false,"EA",2.5,""
"8704","Motor vehicles for transport of goods","Vehicles",false,false,false,"EA",25,""
"2710","Petroleum oils, crude","Chemicals",true,true,true,"L",0,""
"2811","Inorganic acids","Chemicals",true,true,true,"KG",3.7,""
"3808","Insecticides, herbicides","Chemicals",true,true,true,"KG",6.5,""
"8901","Cruise ships, cargo ships","Vessels",false,true,true,"EA",0,""
"8905","Light-vessels, floating cranes","Vessels",false,true,true,"EA",0,""
"2203","Beer made from malt","Beverages",false,false,false,"L",0,""
"2204","Wine of fresh grapes","Beverages",false,false,false,"L",0,""
"4901","Printed books, brochures","Paper Products",false,false,false,"KG",0,""
"4911","Printed matter (catalogs, posters)","Paper Products",false,false,false,"KG",0,""
"8525","Transmission apparatus (radio, TV)","Electronics",false,false,false,"EA",0,""
"9503","Toys (wheeled, dolls, puzzles)","Toys",false,false,false,"EA",0,""
"6110","Jerseys, pullovers, knitted","Textiles",false,false,false,"EA",16,""
