"NOTIFICATION_ID","NOTIFICATION_TYPE","RECIPIENT","SUBJECT","BODY","SENT_AT","STATUS"
1,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 164, High: 6, Flagged: 2","2026-07-23 01:59:58.499","SENT"
2,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #201 on YMLU00427 needs human review","2026-07-23 02:17:01.203","SENT"
3,"FRAUD_ALERT","compliance@vflogistics.com","ALERT [HIGH]: HIGH_VALUE_ANOMALY","BL_ID: 13201 flagged by automated pipeline.","2026-07-23 06:31:21.200","SENT"
101,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 1, High: 6, Flagged: 2","2026-07-23 06:31:33.469","SENT"
4,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 5, Flagged: 0","2026-07-23 06:34:02.598","SENT"
102,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 4, Flagged: 0","2026-07-23 06:35:57.169","SENT"
103,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #301 on DEMO222337 needs human review","2026-07-23 06:36:01.019","SENT"
5,"FRAUD_ALERT","compliance@vflogistics.com","ALERT [HIGH]: HIGH_VALUE_ANOMALY","BL_ID: 13201 flagged by automated pipeline.","2026-07-23 06:40:28.543","SENT"
6,"FRAUD_ALERT","compliance@vflogistics.com","ALERT [HIGH]: HIGH_VALUE_ANOMALY","BL_ID: 14000 flagged by automated pipeline.","2026-07-23 06:42:06.002","SENT"
7,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 1, High: 6, Flagged: 0","2026-07-23 06:42:17.884","SENT"
8,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #311 on DEMO064027 needs human review","2026-07-23 06:42:25.141","SENT"
9,"FRAUD_ALERT","compliance@vflogistics.com","ALERT [HIGH]: HIGH_VALUE_ANOMALY","BL_ID: 14001 flagged by automated pipeline.","2026-07-23 06:50:54.300","SENT"
104,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 6, Flagged: 0","2026-07-23 06:55:33.368","SENT"
105,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #312 on DEMO065053 needs human review","2026-07-23 06:55:40.820","SENT"
106,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 5, Flagged: 0","2026-07-23 07:09:01.210","SENT"
107,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #310 on DEMO064205 needs human review","2026-07-23 07:09:13.347","SENT"
201,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 4, Flagged: 0","2026-07-25 19:53:55.265","SENT"
202,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #309 on DEMO222337 needs human review","2026-07-25 19:54:48.393","SENT"
301,"FRAUD_ALERT","compliance@vflogistics.com","ALERT [HIGH]: HIGH_VALUE_ANOMALY","BL_ID: 14200 flagged by automated pipeline.","2026-07-29 08:19:24.830","SENT"
401,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 5, Flagged: 0","2026-07-29 08:29:47.781","SENT"
402,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #608 on DEMO081923 needs human review","2026-07-29 08:29:55.199","SENT"
302,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 4, Flagged: 0","2026-07-29 08:44:17.125","SENT"
303,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-29 08:44:20.306","SENT"
403,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 3, Flagged: 0","2026-07-29 08:50:38.757","SENT"
404,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #2 on DEMO032020 needs human review","2026-07-29 08:51:15.460","SENT"
405,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 2, Flagged: 0","2026-07-29 08:51:26.522","SENT"
406,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #4 on DEMO051220 needs human review","2026-07-29 08:51:33.982","SENT"
304,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-07-29 08:53:23.505","SENT"
305,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #5 on DEMO031939 needs human review","2026-07-29 08:53:31.644","SENT"
306,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-29 08:54:56.221","SENT"
307,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-29 08:54:58.965","SENT"
407,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-29 08:57:39.366","SENT"
408,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-29 08:57:41.788","SENT"
409,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-29 09:02:23.984","SENT"
