"AUDIT_ID","WORKFLOW_NAME","STEP_NAME","STEP_ORDER","INPUT_PARAMS","OUTPUT_RESULT","EXECUTION_TIME_MS","STATUS","EXECUTED_BY","EXECUTED_AT"
1402,"TASK_NOTIFY_HIGH_FRAUD","CONSUME_FRAUD_NOTIFY_STREAM",0,"changed_alerts=8","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-19 00:10:02.630"
1126,"TASK_AI_EXPLAIN_ANOMALY","CONSUME_FRAUD_EXPLAIN_STREAM",0,"changed_alerts=8","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-19 00:10:02.518"
1401,"TASK_AI_EXPLAIN_ANOMALY","CONSUME_FRAUD_EXPLAIN_STREAM",0,"changed_alerts=0","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-18 22:10:01.859"
1124,"TASK_FRAUD_SCAN","CONSUME_BL_CHANGE_STREAM",0,"changed_rows=0","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-18 19:27:27.024"
973,"TASK_FRAUD_SCAN","CONSUME_BL_CHANGE_STREAM",0,"changed_rows=0","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-18 18:27:26.422"
1200,"TASK_FRAUD_SCAN","CONSUME_BL_CHANGE_STREAM",0,"changed_rows=0","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-18 17:27:26.755"
1118,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert=1408","decision=ESCALATE",4170,"SUCCESS","SYSTEM","2026-08-18 08:22:10.347"
1119,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"Phong Phu Garment","Completed",559,"SUCCESS","SYSTEM","2026-08-18 08:22:11.366"
1024,"TASK_FRAUD_SCAN","CONSUME_BL_CHANGE_STREAM",0,"changed_rows=0","stream offset advanced",0,"SUCCESS","SYSTEM","2026-08-18 08:22:09.896"
1,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 06:31:33.849"
