T	N	H
AI_ANOMALY_REPORT	3	-2265304338357553501
AI_CALL_LOG	425	-8262104828612346609
AI_MODEL_RATE	3	-5905892123680312169
APP_CONFIG	16	1317440374075435306
BILL_OF_LADING	10017	-5528721107483923613
BILL_OF_LADING_EXTRACTED	15	-6026673269804952267
CHAT_MESSAGE	8	-5972126293950629768
CHAT_SESSION	1	1306908634323544390
COMPLIANCE_CHECK_RESULT	10028	-4221368327712220732
FRAUD_ALERT	504	3418206857020563919
HS_CODE_REFERENCE	30	6467410613116959145
NOTIFICATION_LOG	220	-8635098952810628398
PORT_MASTER	23	-7439781717932077557
SAP_FI_DOCUMENT	285	-3328285239588291459
VESSEL_REGISTRY	21	-7051468150028068621
WORKFLOW_AUDIT_LOG	1705	6353657805179411430
